"Informant","Northern","SentenceID","read","Version","InformantGroup","UniqueNumb","type","Realization","Reflexive","Adverb","Subcondition","WordOrder","Comment"
"NOR211","no","ass.oft1","Jeg setter meg ofte lengst bak i bussen.",2,"D",2101,"Produce","Pål sier at han setter seg ofte lengst bak i bussen.","Reflexive","ofte","BridgeV","VA",NA
"NOR001","yes","ass.oft1","Jeg setter meg ofte lengst bak i bussen.",2,"D",2101,"Produce","Pål sei at han ofte sett seg lengst bak i bussen.","Reflexive","ofte","BridgeV","AV",NA
"NOR005","yes","ass.oft1","Jeg setter meg ofte lengst bak i bussen.",2,"D",2101,"Produce","Pål sier at han ofte sett seg lengst bak i bussen.","Reflexive","ofte","BridgeV","AV",NA
"NOR006","yes","ass.oft1","Jeg setter meg ofte lengst bak i bussen.",2,"D",2101,"Produce","Pål sier at han sett seg ofte bak lengst bak i bussen.","Reflexive","ofte","BridgeV","VA",NA
"NOR008","yes","ass.oft1","Jeg setter meg ofte lengst bak i bussen.",2,"D",2101,"Produce","Pål sier at han ofte sett seg lengst bak i bussen.","Reflexive","ofte","BridgeV","AV",NA
"NOR010","yes","ass.oft1","Jeg setter meg ofte lengst bak i bussen.",2,"D",2101,"Produce","Pål sier at han ofte setter seg lengst bak i bussen.","Reflexive","ofte","BridgeV","AV",NA
"NOR013","yes","ass.oft1","Jeg setter meg ofte lengst bak i bussen.",2,"D",2101,"Produce","Pål sei at han sett seg ofte lengst bak i bussen.","Reflexive","ofte","BridgeV","VA",NA
"NOR014","yes","ass.oft1","Jeg setter meg ofte lengst bak i bussen.",2,"D",2101,"Produce","Pål sier at han sett seg ofte lengst bak i bussen.","Reflexive","ofte","BridgeV","VA",NA
"NOR015","yes","ass.oft1","Jeg setter meg ofte lengst bak i bussen.",2,"D",2101,"Produce","Han Pål sei at han ofte sett seg lengst bak i bussen.","Reflexive","ofte","BridgeV","AV",NA
"NOR016","yes","ass.oft1","Jeg setter meg ofte lengst bak i bussen.",2,"D",2101,"Produce","Pål sier at han ofte sette seg lengst bak i bussen.","Reflexive","ofte","BridgeV","AV",NA
"NOR017","yes","ass.oft1","Jeg setter meg ofte lengst bak i bussen.",2,"D",2101,"Produce","Pål sei at han ofte sett seg lengst bak i bussen.","Reflexive","ofte","BridgeV","AV",NA
"NOR018","yes","ass.oft1","Jeg setter meg ofte lengst bak i bussen.",2,"D",2101,"Produce","Pål sier at han ofte setter seg lengst bak i bussen.","Reflexive","ofte","BridgeV","AV",NA
"NOR020","yes","ass.oft1","Jeg setter meg ofte lengst bak i bussen.",2,"D",2101,"Produce","Pål sier at æ sett mæ ofte lengst bak på bussen.","Reflexive","ofte","BridgeV","OTHER","1st person"
